Team,Expenditure,Goals For,Goals Against,Wins,Draws,Losses,Points,Million Euro per Point
Real Madrid,219.50m,162,62,53,14,9,173,1.26878612716763
FC Barcelona,201.40m,149,64,54,11,11,173,1.1641618497109827
UD Almería,89.08m,92,140,14,20,42,62,1.436774193548387
Atlético de Madrid,84.00m,140,76,47,12,17,153,0.5490196078431373
Real Sociedad,75.40m,102,74,37,20,19,131,0.5755725190839696
Sevilla FC,62.40m,95,108,23,21,32,90,0.6933333333333334
Real Betis Balompié,59.90m,94,86,31,24,21,117,0.5119658119658119
Celta de Vigo,54.34m,89,110,21,21,34,84,0.646904761904762
RCD Mallorca,37.72m,70,87,22,24,30,90,0.4191111111111111
Girona FC,37.25m,143,101,38,16,22,130,0.2865384615384615
