Team,Expenditure,Goals For,Goals Against,Wins,Draws,Losses,Points,Million Euro per Point
Chelsea FC,1090.0m,115,110,29,20,27,107,10.186915887850468
Tottenham Hotspur,452.00m,144,124,38,12,26,126,3.5873015873015874
Manchester United,445.58m,115,101,41,12,23,135,3.3005925925925923
Arsenal FC,421.50m,179,72,54,11,11,173,2.4364161849710984
Manchester City,414.60m,190,67,56,12,8,180,2.3033333333333337
West Ham United,341.16m,102,129,25,17,34,92,3.7082608695652177
Newcastle United,338.55m,153,95,37,20,19,131,2.584351145038168
Nottingham Forest,329.40m,87,135,18,20,38,74,4.451351351351351
Liverpool FC,317.80m,161,88,43,20,13,149,2.1328859060402685
Wolverhampton Wanderers,273.51m,81,123,24,15,37,87,3.143793103448276
